,sym1,sym2
460,81,1032
461,81,87
462,81,852
463,81,144
464,81,594
465,81,292
466,81,55
467,81,64
468,81,288
469,81,931
470,81,744
471,81,80
472,81,149
473,81,95
474,81,454
475,81,346
476,81,322
477,81,243
478,81,765
479,81,46
480,81,224
481,81,88
482,81,494
483,81,323
484,81,258
485,81,63
486,81,734
487,81,352
488,81,291
489,81,366
490,81,461
491,81,289
492,81,450
493,81,720
494,81,555
495,81,118
496,81,950
497,81,436
498,81,33
499,81,928
500,81,845
501,81,532
502,81,741
503,81,492
504,81,154
505,81,876
506,81,321
507,789,182
508,789,91
509,789,82
510,789,114
511,789,192
512,789,505
513,789,797
514,789,493
515,789,296
516,789,226
517,789,782
518,789,435
519,789,644
520,789,848
521,789,1032
522,789,87
523,789,802
524,789,852
525,789,594
526,789,55
527,789,119
528,789,744
529,789,39
530,789,149
531,789,95
532,789,346
533,789,243
534,789,765
535,789,46
536,789,224
537,789,88
538,789,494
539,789,846
540,789,63
541,789,734
542,789,584
543,789,291
544,789,461
545,789,720
546,789,724
547,789,950
548,789,824
549,789,645
550,789,897
551,789,33
552,789,845
553,789,532
554,789,741
555,789,492
556,789,876
557,789,642
558,926,786
559,926,296
560,926,147
561,926,87
562,926,55
563,926,744
564,926,149
565,926,95
566,926,46
567,926,224
568,926,88
569,926,63
570,926,461
571,926,950
572,926,532
573,926,741
574,786,182
575,786,926
576,786,714
577,786,82
578,786,114
579,786,505
580,786,797
581,786,493
582,786,296
583,786,147
584,786,1032
585,786,87
586,786,55
587,786,893
588,786,744
589,786,149
590,786,95
591,786,765
592,786,46
593,786,224
594,786,88
595,786,494
596,786,63
597,786,734
598,786,461
599,786,289
600,786,720
601,786,950
602,786,905
603,786,895
604,786,33
605,786,845
606,786,532
607,786,741
608,786,492
609,786,876
610,786,642
611,277,615
612,277,182
613,277,714
614,277,795
615,277,850
616,277,82
617,277,736
618,277,305
619,277,530
620,277,544
621,277,1033
622,277,505
623,277,428
624,277,231
625,277,493
626,277,12
627,277,296
628,277,953
629,277,226
630,277,992
631,277,694
632,277,58
633,277,1000
634,277,161
635,277,234
636,277,955
637,277,542
638,277,958
639,277,435
640,277,273
641,277,832
642,277,863
643,277,969
644,277,848
645,277,679
646,277,51
647,277,939
648,277,945
649,277,1032
650,277,87
651,277,4
652,277,852
653,277,971
654,277,106
655,277,957
656,277,990
657,277,594
658,277,200
659,277,281
660,277,55
661,277,954
662,277,935
663,277,893
664,277,288
665,277,399
666,277,309
667,277,931
668,277,744
669,277,763
670,277,15
671,277,27
672,277,216
673,277,696
674,277,340
675,277,188
676,277,833
677,277,149
678,277,698
679,277,95
680,277,346
681,277,503
682,277,322
683,277,431
684,277,240
685,277,166
686,277,243
687,277,1036
688,277,92
689,277,765
690,277,695
691,277,508
692,277,46
693,277,804
694,277,402
695,277,224
696,277,1034
697,277,799
698,277,88
699,277,494
700,277,323
701,277,633
702,277,915
703,277,63
704,277,902
705,277,734
706,277,940
707,277,838
708,277,569
709,277,548
710,277,883
711,277,603
712,277,291
713,277,964
714,277,660
715,277,461
716,277,289
717,277,678
718,277,792
719,277,956
720,277,720
721,277,254
722,277,555
723,277,950
724,277,286
725,277,699
726,277,824
727,277,970
728,277,693
729,277,1041
730,277,905
731,277,246
732,277,959
733,277,1046
734,277,766
735,277,1004
736,277,509
737,277,668
738,277,895
739,277,181
740,277,897
741,277,672
742,277,558
743,277,33
744,277,928
745,277,661
746,277,952
747,277,845
748,277,532
749,277,113
750,277,306
751,277,741
752,277,205
753,277,871
754,277,1035
755,277,480
756,277,70
757,277,492
758,277,876
759,277,997
760,277,549
761,277,761
762,277,321
763,345,296
764,345,918
765,345,435
766,345,791
767,345,852
768,345,971
769,345,594
770,345,55
771,345,381
772,345,744
773,345,95
774,345,566
775,345,46
776,345,319
777,345,142
778,345,540
779,345,224
780,345,63
781,345,838
782,345,825
783,345,1061
784,345,900
785,345,824
786,345,532
787,345,741
788,345,154
789,899,296
790,899,55
791,899,744
792,899,95
793,899,46
794,899,224
795,899,63
796,899,532
797,899,741
798,1049,81
799,1049,82
800,1049,371
801,1049,192
802,1049,179
803,1049,296
804,1049,75
805,1049,1000
806,1049,435
807,1049,87
808,1049,852
809,1049,303
810,1049,594
811,1049,292
812,1049,55
813,1049,64
814,1049,931
815,1049,744
816,1049,216
817,1049,95
818,1049,454
819,1049,322
820,1049,243
821,1049,458
822,1049,46
823,1049,224
824,1049,88
825,1049,323
826,1049,258
827,1049,63
828,1049,291
829,1049,616
830,1049,461
831,1049,289
832,1049,450
833,1049,245
834,1049,555
835,1049,246
836,1049,360
837,1049,135
838,1049,928
839,1049,532
840,1049,741
841,1049,127
842,1049,154
843,1049,930
844,1049,321
845,187,505
846,187,296
847,187,226
848,187,591
849,187,612
850,187,776
851,187,592
852,187,589
853,187,774
854,187,316
855,187,574
856,187,300
857,187,55
858,187,893
859,187,744
860,187,95
861,187,588
862,187,46
863,187,224
864,187,775
865,187,63
866,187,973
867,187,368
868,187,950
869,187,905
870,187,988
871,187,668
872,187,895
873,187,741
874,187,907
875,714,615
876,714,182
877,714,786
878,714,277
879,714,795
880,714,505
881,714,493
882,714,296
883,714,147
884,714,992
885,714,232
886,714,694
887,714,58
888,714,435
889,714,832
890,714,848
891,714,939
892,714,1032
893,714,87
894,714,852
895,714,396
896,714,594
897,714,55
898,714,744
899,714,15
900,714,216
901,714,833
902,714,149
903,714,698
904,714,95
905,714,346
906,714,1030
907,714,431
908,714,240
909,714,166
910,714,765
911,714,695
912,714,508
913,714,11
914,714,715
915,714,46
916,714,224
917,714,799
918,714,494
919,714,633
920,714,915
921,714,63
922,714,734
923,714,397
924,714,366
925,714,792
926,714,831
927,714,720
928,714,830
929,714,118
930,714,950
931,714,293
932,714,432
933,714,509
934,714,668
935,714,645
936,714,558
937,714,33
938,714,845
939,714,532
940,714,113
941,714,741
942,714,492
943,714,154
944,714,876
945,452,12
946,452,296
947,452,226
948,452,87
949,452,292
950,452,55
951,452,931
952,452,744
953,452,216
954,452,95
955,452,243
956,452,46
957,452,355
958,452,224
